type,feature_name,importance
gamma_weight,StoD_26,0.06566710770130157
gamma_weight,ROC_3,0.0656583309173584
gamma_weight,Range_25,0.06559836864471436
gamma_weight,RSI_28,0.06545835733413696
gamma_weight,RSI_4,0.06543460488319397
gamma_weight,CCI_29,0.06540673971176147
gamma_weight,EMA_11,0.0653366968035698
gamma_weight,Volume_EMA_28,0.0653209537267685
gamma_weight,WR_15,0.06528804451227188
gamma_weight,Volume_EMA_2,0.06528564542531967
gamma_weight,EMA_2,0.06526031345129013
gamma_weight,StoD_15,0.0652008131146431
gamma_weight,Volume_EMA_20,0.06514249742031097
gamma_weight,ROC_19,0.06511834263801575
gamma_weight,StoD_14,0.06505326181650162
gamma_weight,EMA_26,0.06505189090967178
gamma_weight,ROC_18,0.0649740919470787
gamma_weight,Range_22,0.06496690958738327
gamma_weight,WR_21,0.06490848958492279
gamma_weight,Volume_SMA_25,0.06487832218408585
gamma_weight,CCI_19,0.06486271321773529
gamma_weight,BBdn_23,0.06486174464225769
gamma_weight,StoD_11,0.06481236964464188
gamma_weight,EMA_9,0.06476056575775146
gamma_weight,WR_22,0.06475609540939331
gamma_weight,EMA_12,0.06467345356941223
gamma_weight,CloseStd_11,0.06460661441087723
gamma_weight,CCI_12,0.06458250433206558
gamma_weight,WR_6,0.06441478431224823
gamma_weight,StoK_4,0.06434132158756256
gamma_weight,RSI_30,0.06433545053005219
gamma_weight,BBmid_13,0.06420813500881195
gamma_weight,WR_11,0.06417322158813477
gamma_weight,WR_18,0.06409627944231033
gamma_weight,MACD,0.06405263394117355
gamma_weight,WR_20,0.06403853744268417
gamma_weight,EMA_24,0.06398806720972061
gamma_weight,BBup_14,0.06394463777542114
gamma_weight,WR_17,0.0638425201177597
gamma_weight,Volume_EMA_14,0.06383752822875977
gamma_weight,BBup_10,0.06382499635219574
gamma_weight,Range_18,0.06381366401910782
gamma_weight,WR_5,0.06376887857913971
gamma_weight,RSI_22,0.06375176459550858
gamma_weight,Range_29,0.06373070925474167
gamma_weight,StoK_15,0.06369507312774658
gamma_weight,Volume_SMA_22,0.06369264423847198
gamma_weight,Volume_EMA_10,0.06369031220674515
gamma_weight,CloseStd_9,0.06367120146751404
gamma_weight,StoD_20,0.06360793858766556
gamma_weight,SMA_4,0.06353244185447693
gamma_weight,BBup_23,0.06346219033002853
gamma_weight,BBmid_29,0.06342244893312454
gamma_weight,SMA_27,0.06334568560123444
gamma_weight,Volume_EMA_6,0.06326615810394287
gamma_weight,BBup_25,0.06321621686220169
gamma_weight,BBup_17,0.06314036250114441
gamma_weight,ROC_26,0.06312162429094315
gamma_weight,SMA_28,0.06306293606758118
gamma_weight,Volume_EMA_8,0.06305988878011703
gamma_weight,ROC_23,0.06301028281450272
gamma_weight,CloseStd_27,0.06299098581075668
gamma_weight,WR_16,0.06294840574264526
gamma_weight,SMA_11,0.0629367008805275
gamma_weight,Range_7,0.06287319958209991
gamma_weight,CloseStd_21,0.06286685913801193
gamma_weight,BBmid_4,0.06283913552761078
gamma_weight,SMA_7,0.06280771642923355
gamma_weight,WR_8,0.06273403763771057
gamma_weight,BBmid_10,0.06271883845329285
gamma_weight,RSI_2,0.06259586662054062
gamma_weight,WR_27,0.06248869374394417
gamma_weight,EMA_13,0.06241984665393829
gamma_weight,CloseStd_5,0.06235615164041519
gamma_weight,Range_5,0.062323570251464844
gamma_weight,EMA_15,0.06227147579193115
gamma_weight,BBdn_5,0.06218953803181648
gamma_weight,Volume_SMA_23,0.06218075752258301
gamma_weight,Volume_SMA_18,0.06212329491972923
gamma_weight,EMA_7,0.06210988759994507
gamma_weight,WR_28,0.06208489090204239
gamma_weight,Range_27,0.06206618249416351
gamma_weight,Volume_SMA_10,0.06206248700618744
gamma_weight,StoD_19,0.06187982112169266
gamma_weight,EMA_21,0.06181205436587334
gamma_weight,CCI_6,0.06170141324400902
gamma_weight,SMA_16,0.061693307012319565
gamma_weight,Volume_EMA_30,0.06164132431149483
gamma_weight,CloseStd_6,0.061486899852752686
gamma_weight,StoK_17,0.06142017990350723
gamma_weight,ROC_5,0.06135305017232895
gamma_weight,CloseStd_28,0.061319418251514435
gamma_weight,ROC_30,0.06129029020667076
gamma_weight,SMA_14,0.061233676970005035
gamma_weight,BBdn_2,0.06121794879436493
gamma_weight,RSI_12,0.06110899895429611
gamma_weight,SMA_9,0.06105143204331398
gamma_weight,EMA_22,0.0608845055103302
gamma_weight,WR_19,0.0608692541718483
gamma_weight,BBmid_20,0.06078508868813515
gamma_weight,Range_26,0.060780055820941925
gamma_weight,Volume_EMA_21,0.0607413724064827
gamma_weight,CCI_13,0.060661397874355316
gamma_weight,BBdn_3,0.06063317507505417
gamma_weight,StoK_23,0.06062179431319237
gamma_weight,ROC_17,0.0605214461684227
gamma_weight,Range_4,0.060517385601997375
gamma_weight,CloseStd_8,0.0604282021522522
gamma_weight,BBdn_15,0.06038212031126022
gamma_weight,SMA_23,0.060141123831272125
gamma_weight,BBup_29,0.060127437114715576
gamma_weight,RSI_29,0.06007704883813858
gamma_weight,ROC_29,0.06005018204450607
gamma_weight,CloseStd_12,0.059981152415275574
gamma_weight,Volume_SMA_14,0.059962496161460876
gamma_weight,StoK_8,0.059931375086307526
gamma_weight,RSI_7,0.059888847172260284
gamma_weight,EMA_8,0.059848155826330185
gamma_weight,Volume_EMA_3,0.059658028185367584
gamma_weight,Volume_EMA_22,0.059577636420726776
gamma_weight,EMA_10,0.059512317180633545
gamma_weight,Range_13,0.05950690060853958
gamma_weight,WR_9,0.05938466638326645
gamma_weight,CloseStd_23,0.05932122468948364
gamma_weight,CloseStd_14,0.05891326069831848
gamma_weight,CCI_24,0.058847393840551376
gamma_weight,MACD_Signal,0.05880023539066315
gamma_weight,Volume_EMA_29,0.058678194880485535
gamma_weight,BBmid_22,0.0586751326918602
gamma_weight,BBmid_5,0.058556731790304184
gamma_weight,WR_7,0.058490119874477386
gamma_weight,SMA_22,0.0584031343460083
gamma_weight,CloseStd_29,0.05833332613110542
gamma_weight,BBmid_27,0.058327816426754
gamma_weight,BBmid_2,0.05830959603190422
gamma_weight,Volume_EMA_12,0.05827295035123825
gamma_weight,RSI_14,0.05819401517510414
gamma_weight,WR_4,0.05805589631199837
gamma_weight,StoD_22,0.05802471935749054
gamma_weight,Volume_EMA_9,0.0573870912194252
gamma_weight,BBup_15,0.05716109648346901
gamma_weight,BBdn_21,0.0569310262799263
gamma_weight,ROC_2,0.05687791854143143
gamma_weight,BBdn_13,0.056748561561107635
gamma_weight,ROC_10,0.05661579966545105
gamma_weight,SMA_15,0.05637330561876297
gamma_weight,SMA_6,0.05611751973628998
gamma_weight,BBup_19,0.05555219203233719
gamma_weight,StoD_3,0.0555352084338665
gamma_weight,StoK_6,0.055086880922317505
gamma_weight,CloseStd_30,0.054375238716602325
gamma_weight,RSI_21,0.05370289459824562
gamma_weight,BBup_18,0.05356881022453308
gamma_weight,WR_14,0.0530150905251503
gamma_weight,Volume_SMA_9,0.04945264011621475
